phenotype,peak_value,lower_bound,upper_bound,n_patients
lercanidipine__mean_dose,20090.387884771655,14976.573961854947,33585.174625801854,91
eplerenone__mean_dose,25253.193704657893,12168.874172185431,91467.78042959428,65
lorazepam__mean_dose,981.2467928929135,218.58407079646017,4341.085271317829,997
promethazine__mean_dose,5180.449602337283,4098.360655737705,7705.323811069632,54
promethazine__mean_dose,10230.198019801981,7705.323811069632,17444.124330465835,459
promethazine__mean_dose,24658.05064112969,17444.124330465835,76237.62376237624,1340
prochlorperazine__mean_dose,3027.906763889312,821.917808219178,4016.7983647069586,4594
prochlorperazine__mean_dose,5005.689965524605,4016.7983647069586,8733.05061476035,20741
prochlorperazine__mean_dose,12460.411263996095,8733.05061476035,16035.634743875278,178
amitriptyline__mean_dose,10569.99723604201,1791.044776119403,13946.517412935324,18556
amitriptyline__mean_dose,17323.037589828637,13946.517412935324,21374.861802100608,1124
amitriptyline__mean_dose,25426.68601437258,21374.861802100608,37582.158651188496,3303
amitriptyline__mean_dose,49737.63128800441,37582.158651188496,136851.85185185185,313
oxazepam__mean_dose,9817.096105836998,3962.264150943396,41735.373537353735,272
pregabalin__mean_dose,80147.11012817918,14685.314685314685,115853.54400610528,1036
pregabalin__mean_dose,151559.97788403137,115853.54400610528,1204899.7772828508,254
timolol__mean_dose,1963.1906689757636,0.15369743837602706,6020.133743486364,86
timolol__mean_dose,10077.076817996965,6020.133743486364,26173.979984603542,55
loprazolam__mean_dose,999.5704328274312,404.44444444444446,1582.911748173131,163
isosorbide_mononitrate__mean_dose,10489.130262560253,7197.802197802198,18168.895746995717,448
isosorbide_mononitrate__mean_dose,25848.66123143118,18168.895746995717,32431.31736094729,252
isosorbide_mononitrate__mean_dose,39013.9734904634,32431.31736094729,49985.06703965692,236
isosorbide_mononitrate__mean_dose,60956.160588850435,49985.06703965692,226619.67318167255,489
clonidine__mean_dose,23.831789624842937,15.555555555555555,32.10802369413032,3134
clonidine__mean_dose,40.3842577634177,32.10802369413032,69.9422365823012,217
clonidine__mean_dose,99.50021540118472,69.9422365823012,252.01938610662359,128
bisoprolol__mean_dose,1225.956150827055,665.7608695652174,1898.19048834126,1890
bisoprolol__mean_dose,2570.4248258554653,1898.19048834126,3802.854444631508,2818
bisoprolol__mean_dose,5035.284063407551,3802.854444631508,7500.143300959637,1200
bisoprolol__mean_dose,9965.002538511722,7500.143300959637,23073.572120038723,269
clobazam__mean_dose,9828.002191952402,1481.4814814814815,36998.59088774072,62
rosuvastatin__mean_dose,5144.115841548406,1045.751633986928,7603.134366085293,751
rosuvastatin__mean_dose,10062.15289062218,7603.134366085293,14980.189939695954,649
rosuvastatin__mean_dose,19898.22698876973,14980.189939695954,55690.60773480663,110
moxonidine__mean_dose,198.7530060503944,127.27272727272727,879.6967144060657,98
sildenafil__mean_dose,13460.72796934866,2037.6175548589342,19611.633577150817,641
sildenafil__mean_dose,25762.539184952977,19611.633577150817,31913.444792755134,819
sildenafil__mean_dose,38064.35040055729,31913.444792755134,44215.25600835945,166
sildenafil__mean_dose,50366.16161616161,44215.25600835945,58274.46882619296,3888
sildenafil__mean_dose,66182.77603622431,58274.46882619296,70576.28004179729,83
sildenafil__mean_dose,74969.78404737025,70576.28004179729,79363.28805294323,296
