substance,code,doses,quantities
"['amiloride', 'furosemide']",b51i.,[],[]
"['amiloride', 'hydrochlorothiazide']",b51j.,"[('2500', 'mcg'), ('25000', 'mcg')]",[]
"['furosemide', 'spironolactone']",b51J.,"[('50000', 'mcg'), ('20000', 'mcg')]",[]
"['amiloride', 'hydrochlorothiazide']",b51k.,"[('5000', 'mcg'), ('50000', 'mcg')]",[]
"['amiloride', 'hydrochlorothiazide']",b51K.,[],[]
"['amiloride', 'hydrochlorothiazide']",b51l.,"[('5000', 'mcg'), ('50000', 'mcg')]",[]
"['amiloride', 'furosemide']",b51L.,"[('2500', 'mcg'), ('20000', 'mcg')]",[]
"['amiloride', 'hydrochlorothiazide']",b51m.,"[('5000', 'mcg'), ('50000', 'mcg')]",[]
"['amiloride', 'furosemide']",b51M.,"[('5000', 'mcg'), ('40000', 'mcg')]",[]
"['furosemide', 'triamterene']",b51n.,[],[]
"['amiloride', 'furosemide']",b51N.,"[('10000', 'mcg'), ('80000', 'mcg')]",[]
"['amiloride', 'furosemide']",b51o.,"[('20000', 'mcg'), ('2500', 'mcg')]",[]
"['hydroflumethiazide', 'spironolactone']",b51O.,"[('25000', 'mcg')]",[]
"['hydroflumethiazide', 'spironolactone']",b51p.,[],"[('25', 'sztuk')]"
"['hydroflumethiazide', 'spironolactone']",b51P.,"[('50000', 'mcg')]",[]
"['hydroflumethiazide', 'spironolactone']",b51q.,[],"[('50', 'sztuk')]"
"['amiloride', 'hydrochlorothiazide']",b51Q.,"[('5000', 'mcg'), ('50000', 'mcg')]",[]
['amiloride'],b51r.,"[('2500', 'mcg'), ('250', 'mcg')]",[]
"['amiloride', 'furosemide']",b51R.,"[('5000', 'mcg'), ('40000', 'mcg')]",[]
"['amiloride', 'hydrochlorothiazide']",b51s.,"[('5000', 'mcg'), ('50000', 'mcg')]",[]
"['amiloride', 'furosemide']",b51S.,"[('5000', 'mcg'), ('40000', 'mcg')]",[]
['amiloride'],b51t.,[],[]
"['amiloride', 'furosemide']",b51T.,"[('5000', 'mcg'), ('40000', 'mcg')]",[]
"['amiloride', 'furosemide']",b51u.,"[('80000', 'mcg'), ('10000', 'mcg')]",[]
"['chlortalidone', 'triamterene']",b51w.,[],[]
"['amiloride', 'furosemide']",b51x.,"[('2500', 'mcg'), ('20000', 'mcg')]",[]
"['amiloride', 'furosemide']",b51y.,"[('5000', 'mcg'), ('40000', 'mcg')]",[]
"['amiloride', 'furosemide']",b51z.,"[('10000', 'mcg'), ('80000', 'mcg')]",[]
['bumetanide'],b912.,[],[]
['bendroflumethiazide'],b913.,[],[]
['furosemide'],b914.,[],[]
['hydrochlorothiazide'],b915.,[],[]
['chlortalidone'],b916.,[],[]
['furosemide'],b917.,[],[]
['furosemide'],b918.,[],[]
['bendroflumethiazide'],b91a.,[],[]
['bumetanide'],b91b.,"[('500', 'mcg')]",[]
['bendroflumethiazide'],b91c.,"[('2500', 'mcg')]",[]
['furosemide'],b91d.,"[('40000', 'mcg')]",[]
['chlortalidone'],b91e.,"[('25000', 'mcg')]",[]
['furosemide'],b91f.,"[('20000', 'mcg')]",[]
['furosemide'],b91g.,"[('40000', 'mcg')]",[]
['bendroflumethiazide'],b91h.,"[('2500', 'mcg')]",[]
"['felodipine', 'ramipril']",bA1..,[],[]
"['felodipine', 'ramipril']",bA11.,"[('2500', 'mcg'), ('2500', 'mcg')]",[]
"['felodipine', 'ramipril']",bA12.,"[('5000', 'mcg'), ('5000', 'mcg')]",[]
"['felodipine', 'ramipril']",bA1y.,"[('2500', 'mcg'), ('2500', 'mcg')]",[]
"['felodipine', 'ramipril']",bA1z.,"[('5000', 'mcg'), ('5000', 'mcg')]",[]
['amiodarone'],bb1..,[],[]
['ivabradine'],bB1..,[],[]
['amiodarone'],bb11.,"[('100000', 'mcg')]","[('100000', 'sztuk')]"
['ivabradine'],bB11.,"[('5000', 'mcg')]",[]
['amiodarone'],bb12.,"[('200000', 'mcg')]","[('200000', 'sztuk')]"
